level_0	level_1	weight
Ap1s2	2310011J03Rik	1.0
Ap1s2	Aasdhppt	1.0
Ap1s2	Abhd13	1.0
Ap1s2	Agpat5	1.0
Ap1s2	Aimp1	1.0
Ap1s2	Ankmy2	1.0
Ap2a1	Akirin2	1.0
Ap2a2	1110065P20Rik	1.0
Ap2a2	2510039O18Rik	1.0
Ap2a2	Abhd12	1.0
Ap2a2	Agap3	1.0
Ap2a2	Akt1	1.0
Ap2m1	Abhd17a	1.0
Ap2m1	Alg14	1.0
Ap2s1	0610010K14Rik	1.0
Ap2s1	2410004B18Rik	1.0
Ap2s1	9530068E07Rik	1.0
Ap2s1	A430005L14Rik	1.0
Ap2s1	Aamp	1.0
Ap2s1	Actl6a	1.0
Ap2s1	Adprh	1.0
Ap2s1	Alg1	1.0
Ap3b1	Acp2	1.0
Ap3b1	Ak6	1.0
Ap3b1	Anapc11	1.0
Ap3d1	Abhd17a	1.0
Ap3d1	Alg14	1.0
Ap3d1	Ap2m1	1.0
Ap3s1	Anxa3	1.0
Ap4b1	Aftph	1.0
Ap4b1	Agps	1.0
Ap4b1	AI987944	1.0
Ap4b1	Ankrd46	1.0
Ap4s1	Aktip	1.0
Apbb1	Acad12	1.0
Apbb1	Acsl1	1.0
Apeh	Abhd8	1.0
Apip	1700021F05Rik	1.0
Apip	2300009A05Rik	1.0
Apip	Abcb10	1.0
Apip	Agpat2	1.0
Apip	Akr1b10	1.0
Apip	Alad	1.0
Apip	Aldh2	1.0
Aplp2	2610507B11Rik	1.0
Aplp2	Aarsd1	1.0
Aplp2	Acaa1a	1.0
Aplp2	Afg1l	1.0
Aplp2	Aifm2	1.0
Aplp2	Aig1	1.0
Aplp2	Alkbh5	1.0
Aplp2	Alkbh7	1.0
Aplp2	Anks1	1.0
Aplp2	Antxr2	1.0
Apmap	Ahcy	1.0
Apmap	Aip	1.0
Apmap	Amdhd2	1.0
Apmap	Ap1s1	1.0
Apoe	1110012L19Rik	1.0
Apoe	Alg5	1.0
Apoe	Anxa5	1.0
Apoo	Afg3l2	1.0
Apool	1110038F14Rik	1.0
Apool	Adgrl4	1.0
Apool	Adh5	1.0
Apool	Aga	1.0
Apool	AI413582	1.0
Apool	Akip1	1.0
Apool	Akr1a1	1.0
Apool	Aldh3a2	1.0
Apool	Anapc15	1.0
Apool	Angptl2	1.0
App	0610010K14Rik	1.0
App	2410004B18Rik	1.0
App	9530068E07Rik	1.0
App	A430005L14Rik	1.0
App	Aamp	1.0
App	Actl6a	1.0
App	Adprh	1.0
App	Alg1	1.0
App	Ap2s1	1.0
Appbp2	Abl2	1.0
Appbp2	Ano6	1.0
Appl1	Anln	1.0
Appl1	Ap1g1	1.0
Aqp1	Afg3l2	1.0
Aqp1	Apoo	1.0
Arap1	4930453N24Rik	1.0
Arap1	Adamts2	1.0
Arap1	Anapc16	1.0
Arap1	Ankle2	1.0
Arcn1	Anln	1.0
Arcn1	Ap1g1	1.0
Arcn1	Appl1	1.0
Arel1	Aar2	1.0
Arf1	0610010K14Rik	1.0
Arf1	2410004B18Rik	1.0
Arf1	9530068E07Rik	1.0
Arf1	A430005L14Rik	1.0
Arf1	Aamp	1.0
Arf1	Actl6a	1.0
Arf1	Adprh	1.0
Arf1	Alg1	1.0
Arf1	Ap2s1	1.0
Arf1	App	1.0
Arf5	1110065P20Rik	1.0
Arf5	2510039O18Rik	1.0
Arf5	Abhd12	1.0
Arf5	Agap3	1.0
Arf5	Akt1	1.0
Arf5	Ap2a2	1.0
Arf6	Actb	1.0
Arfgap1	Abl1	1.0
Arfgap2	Ahcy	1.0
Arfgap2	Aip	1.0
Arfgap2	Amdhd2	1.0
Arfgap2	Ap1s1	1.0
Arfgap2	Apmap	1.0
Arfgap3	Ahnak	1.0
Arfip1	Apobec1	1.0
Arg1	AA467197	1.0
Arhgap1	Abi1	1.0
Arhgap1	Aldh3b1	1.0
Arhgap12	0610010F05Rik	1.0
Arhgap12	1600012H06Rik	1.0
Arhgap12	3110040N11Rik	1.0
Arhgap12	Abca1	1.0
Arhgap12	Alg10b	1.0
Arhgap24	Abhd17a	1.0
Arhgap24	Alg14	1.0
Arhgap24	Ap2m1	1.0
Arhgap24	Ap3d1	1.0
Arhgap5	Acvr2a	1.0
Arhgap5	Akt3	1.0
Arhgap5	Angel2	1.0
Arhgap5	Ankra2	1.0
Arhgap9	Abhd17b	1.0
Arhgap9	Actg1	1.0
Arhgap9	Adam9	1.0
Arhgap9	Alox5ap	1.0
Arhgdia	Ahnak	1.0
Arhgdia	Arfgap3	1.0
Arhgdib	Abhd17b	1.0
Arhgdib	Actg1	1.0
Arhgdib	Adam9	1.0
Arhgdib	Alox5ap	1.0
Arhgdib	Arhgap9	1.0
Arhgef10l	Amd1	1.0
Arhgef12	Arhgap26	1.0
Arid2	Apbb2	1.0
Arid4a	Adap2	1.0
Arih1	Abl1	1.0
Arih1	Arfgap1	1.0
Arl1	1110059G10Rik	1.0
Arl1	1810009A15Rik	1.0
Arl1	4921524J17Rik	1.0
Arl1	9130401M01Rik	1.0
Arl1	Acp1	1.0
Arl1	Adgre1	1.0
Arl1	Aggf1	1.0
Arl1	Aldh1a1	1.0
Arl1	Ap1ar	1.0
Arl2	Acads	1.0
Arl2bp	2310061I04Rik	1.0
Arl2bp	Acss2	1.0
Arl2bp	Aldh4a1	1.0
Arl4c	Abi1	1.0
Arl4c	Aldh3b1	1.0
Arl4c	Arhgap1	1.0
Arl5a	0610009B22Rik	1.0
Arl5a	1110032A03Rik	1.0
Arl5a	1810030O07Rik	1.0
Arl5a	4933434E20Rik	1.0
Arl5a	Abraxas2	1.0
Arl5a	Acbd5	1.0
Arl5a	Adam17	1.0
Arl5a	Adcy7	1.0
Arl5a	Ankrd49	1.0
Arl5a	Anp32a	1.0
Arl6ip1	1110059G10Rik	1.0
Arl6ip1	1810009A15Rik	1.0
Arl6ip1	4921524J17Rik	1.0
Arl6ip1	9130401M01Rik	1.0
Arl6ip1	Acp1	1.0
Arl6ip1	Adgre1	1.0
Arl6ip1	Aggf1	1.0
Arl6ip1	Aldh1a1	1.0
Arl6ip1	Ap1ar	1.0
Arl6ip1	Arl1	1.0
Arl6ip4	Acp2	1.0
Arl6ip4	Ak6	1.0
Arl6ip4	Anapc11	1.0
Arl6ip4	Ap3b1	1.0
Arl6ip5	Aldh7a1	1.0
Arl8a	Abhd2	1.0
Arl8b	Abl1	1.0
Arl8b	Arfgap1	1.0
Arl8b	Arih1	1.0
Armc1	2310011J03Rik	1.0
Armc1	Aasdhppt	1.0
Armc1	Abhd13	1.0
Armc1	Agpat5	1.0
Armc1	Aimp1	1.0
Armc1	Ankmy2	1.0
Armc1	Ap1s2	1.0
Armc8	Adap2	1.0
Armc8	Arid4a	1.0
Armcx2	1110059G10Rik	1.0
Armcx2	1810009A15Rik	1.0
Armcx2	4921524J17Rik	1.0
Armcx2	9130401M01Rik	1.0
Armcx2	Acp1	1.0
Armcx2	Adgre1	1.0
Armcx2	Aggf1	1.0
Armcx2	Aldh1a1	1.0
Armcx2	Ap1ar	1.0
Armcx2	Arl1	1.0
Armcx2	Arl6ip1	1.0
Armcx3	0610009B22Rik	1.0
Armcx3	1110032A03Rik	1.0
Armcx3	1810030O07Rik	1.0
Armcx3	4933434E20Rik	1.0
Armcx3	Abraxas2	1.0
Armcx3	Acbd5	1.0
Armcx3	Adam17	1.0
Armcx3	Adcy7	1.0
Armcx3	Ankrd49	1.0
Armcx3	Anp32a	1.0
Armcx3	Arl5a	1.0
Arpc1a	1110038F14Rik	1.0
Arpc1a	Adgrl4	1.0
Arpc1a	Adh5	1.0
Arpc1a	Aga	1.0
Arpc1a	AI413582	1.0
Arpc1a	Akip1	1.0
Arpc1a	Akr1a1	1.0
Arpc1a	Aldh3a2	1.0
Arpc1a	Anapc15	1.0
Arpc1a	Angptl2	1.0
Arpc1a	Apool	1.0
Arpc1b	Abhd17b	1.0
Arpc1b	Actg1	1.0
Arpc1b	Adam9	1.0
Arpc1b	Alox5ap	1.0
Arpc1b	Arhgap9	1.0
Arpc1b	Arhgdib	1.0
Arpc2	Aatf	1.0
Arpc2	Acot9	1.0
Arpc2	Actr3	1.0
Arpc3	Anxa4	1.0
Arpc4	Aebp1	1.0
Arpc4	Ankrd13a	1.0
Arpc4	Anp32b	1.0
Arpc5	Abhd17b	1.0
Arpc5	Actg1	1.0
Arpc5	Adam9	1.0
Arpc5	Alox5ap	1.0
Arpc5	Arhgap9	1.0
Arpc5	Arhgdib	1.0
Arpc5	Arpc1b	1.0
Arpc5l	Aktip	1.0
Arpc5l	Ap4s1	1.0
Arpin	0610010K14Rik	1.0
Arpin	2410004B18Rik	1.0
